reading_no	sample_measurement_id	sample_id	site_id	parish	patina	munsell_hue	munsell_value	hue	color	material	artefact	type	note_measurement	texture_1	texture_2	luster	sedimentary_structures	foliation	topography	homogeneity	inclusion	surface	sample_size	t[1]	t[2]	t[3]
691	66	66	MV	Vännäs	Yes	N2	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	Dark stain	Large	5.118221815362364	-0.7054919726737271	-0.959112964389504
692	67	67	MV	Vännäs	Yes	N2	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	MV	Large	-0.814994423672447	1.2004917501118195	-0.2754156730918611
693	68	68	MV	Vännäs	Yes	N2	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	MV	Large	-0.32656221446205885	0.9578017305762128	-0.860322702484147
694	69	69	MV	Vännäs	Yes	N2	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	Iron oxide	Large	-0.5033486821259178	1.1100354930923162	-0.4369334546747674
695	70	70	MV	Vännäs	Yes	N3	 	Light	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	MV	Large	-1.0758972479965851	0.48630474908876165	1.5209254613283456
696	71	71	MV	Vännäs	Yes	N2	 	Light	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	Iron oxide	Large	-0.5296817197008119	0.710373613960581	-0.9389920590426071
697	72	72	MV	Vännäs	Yes	N3	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	Iron oxide	Large	0.8670342388809444	0.9870540142809576	0.9241437560390504
698	73	73	MV	Vännäs	Yes	N2	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	MV	Large	-0.09941720824508914	1.268121585852953	-1.4244111832691742
699	74	74	MV	Vännäs	Yes	N1	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Dark mineral inclusion	MV	Large	7.793918312706355	-1.128920999096198	0.8389846373527073
700	75	75	MV	Vännäs	Yes	N1	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	Possible bedding	None	Conchoidal	No	Dark mineral inclusion	MV	Large	-0.9235275778046781	0.8566789672160403	-1.2646497608322143
701	76	76	MV	Vännäs	Yes	N1	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	Iron oxide	Large	0.6891543046275859	1.1150356953222973	-1.0775321526844912
